"gamename",positive,negative,rating
"Distorted",0,1,0.4058
"Distorted Illusions",8,2,0.6542
"Distorted Reality",15,47,0.3161
"Distorted world",2,1,0.5569
"Distortions",99,57,0.6052
"DISTRAINT 2",1986,76,0.9166
"DISTRAINT: Deluxe Edition",8988,638,0.9063
"Distress: A Choice-Driven Sci-Fi Adventure",8,0,0.7419
"District 112 Incident: Bowling Alley",10,2,0.6793
"District 99",2,0,0.6408
"Distrust",1400,484,0.718
"Disturbed",1470,115,0.8809
"Disturbed R.I.P.",2,0,0.6408
"Disturbed: Beyond Aramor",24,1,0.7875
"Divan Chronicles",5,11,0.3924
"Dive",11,0,0.7634
"Dive Inside",1,1,0.5
"Dive to the Titanic",29,54,0.3891
"Dive with Sylvia VR",1,2,0.4431
"DIVE: Starpath",33,13,0.6492
"Divekick",1453,281,0.8022
"Divenia",2,3,0.4583
"DIVER - SEA SURVIVAL SIMULATOR",1,2,0.4431
"DiveReal",8,5,0.5632
"Divergence: Online",72,55,0.5514
"Divergence: Year Zero",9,7,0.5359
"Divide",5,5,0.5
"Divide & Conquer",1,1,0.5942
"Divide by Sheep",2147,209,0.8716
"Divided Reigns",31,2,0.7874
"Divided We Fall",119,100,0.5348
"Divided: Soul Theft",3,1,0.596
"Divilixa",3,1,0.596
"Divination",59,8,0.7737
"Divine Adventure",3,1,0.596
"Divine Ascent",10,2,0.6793
"Divine Business: Fantasy Trading Simulator",7,4,0.5718
"Divine D.I.V.A.",2,2,0.5
"Divine Divinity",2135,279,0.8476
"Divine Favor",8,2,0.6542
"Divine Legacy",2,0,0.6408
"Divine Miko Koyori",316,81,0.7471
"Divine Miracle Defense",2,0,0.6408
"Divine Slice of Life",191,83,0.6607
"Divine Souls",449,450,0.4995
"Divine Stone",13,3,0.6793
"Divinest Light",4,6,0.4486
"Diving Disorder-???",87,5,0.8318
"Diving Trunks",7,0,0.7326
"Divinia Chronicles: Relics of Gan-Ti",34,4,0.7637
"Divinity II: Developer's Cut",2894,565,0.8077
"Divinity: Dragon Commander",1503,514,0.7204
"Divinity: Original Sin (Classic)",10621,953,0.8927
"Divinity: Original Sin 2",115012,4682,0.9472
"Divinity: Original Sin Enhanced Edition",17394,1830,0.884
"DIVO",9,15,0.4224
"DIY MY LADY",31,7,0.711
"DIY MY LADY IN VR WORLD",32,8,0.7019
"DIY Simulator",12,13,0.4875
"DiyMachinery",1,0,0.5942
"Dizzy Dungeon",18,2,0.74
"Dizzy Hearts",38,3,0.7883
"Dizzy Two",18,10,0.591
"DJ Mole",1,1,0.5
"DJ Whip VR",7,2,0.6389
"DJIGULI",3,3,0.5
"Djilyaro",8,8,0.5
"DJMAX RESPECT V",11417,1756,0.8456
"DK Online",227,316,0.4304
"DLC Quest",5498,721,0.8564
"D'LIRIUM",746,40,0.8888
"DmC Devil May Cry",19124,1267,0.9158
"DMD Mars Mission",6,5,0.5239
"DMLC!",11,4,0.6321
"DMT",122,15,0.8019
"DNA Farm",1,0,0.5942
"DNO Rasa's Journey",3,0,0.6706
"Do I smell Pizza?",15,1,0.751
"Do It With Hay",6,1,0.6662
"Do Not Fall",10,1,0.7155
"Do Not Feed the Monkeys",4785,347,0.8994
"Do or Die",4,13,0.3462
"Do you know de way",73,29,0.6622
"Doc Apocalypse",7,5,0.5448
"Doc Clock: The Toasted Sandwich of Time",81,92,0.4749
"DoC God Mode Edition",2,0,0.6408
"DockYard",1,0,0.5942
"Doctor Bunny",4,2,0.5739
"Doctor Flow",7,2,0.6389
"Doctor Klyvinski",1,0,0.5942
"Doctor Kvorak's Obliteration Game",15,2,0.7222
"Doctor Lee",1,0,0.5942
"Doctor Tsunami",4,0,0.692
"Doctor Watson - The Riddle of the Catacombs",0,10,0.2429
"Doctor Watson - Treasure Island",0,5,0.2916
"Doctor Who Infinity",29,21,0.5555
"Doctor Who: The Edge Of Time",133,51,0.6765
"Doctor Who: The Lonely Assassins",290,20,0.8581
"Doctor Who: The Runaway",97,17,0.7668
"Dodge",60,16,0.7112
"Dodge Bubble",32,13,0.6444
"Dodge Dancer",2,1,0.5569
"Dodge Diego",9,3,0.6345
"Dodge Dummy",7,26,0.3117
"Dodge If you Can!",4,0,0.692
"Dodge Master",1,0,0.5942
"Dodge Rocket",32,11,0.666
"Dodge Show",82,10,0.7913
"Dodge the Wall!",14,7,0.6009
"Dodge This!",9,17,0.4032
"Dodgeball",5,3,0.5605
"Dodgeball Simulator VR",22,6,0.682
"DodgeBall VR",0,1,0.4058
"Dodo Adventures",1,0,0.5942
"DoDonPachi Resurrection",600,23,0.8964
"Dofamine",33,7,0.7187
"Dofus",401,141,0.7038
"Dog Duty",85,9,0.8016
"Dog Fight",6,4,0.5514
"Dog Fight Super Ultra Deluxe",2,1,0.5569
"DOG GONE GOLFING",29,8,0.6888
"Dog In A Box",1,2,0.4431
"Dog Jam",18,3,0.7163
"Dog Sled Saga",472,42,0.8544
"Dog Theatre",6,2,0.621
"Doge to the Moon",2,0,0.6408
"Dogfight 1942",614,195,0.7245
"Dogfight Elite",12,6,0.598
"DogFighter",248,164,0.5853
"DOGFIGHTER -WW2-",2,0,0.6408
"Doggo Dig Down",6,3,0.5833
"Dogma",5,0,0.7084
"DOGMAN",5,4,0.5278
"DOGO",3,0,0.6706
"Dogolrax",192,77,0.6741
"DOGOS",42,21,0.619
"dogpet",5,2,0.5997
"Dogs of Wall Street",11,0,0.7634
"Dogs of War Online - Beta",449,253,0.6202
"Dogs of War: Kill to Survive",3,18,0.2837
"Dog's Quest",2,4,0.4261
"Dogstar",6,6,0.5
"Dogurai",56,2,0.8291
"Dogworld",58,1,0.8422
"DOJAGI: The Korean Pottery",14,4,0.6633
"Dojini",6,6,0.5
"Dojoran - Steam Edition",16,0,0.7869
"DOKA 2 GUTS OUT NINJA",6,5,0.5239
"DOKA 2 KISHKI EDITION",2481,414,0.8246
"Doki Doki Literature Club",149576,4874,0.9556
"Dokkaebi Hentai Adventures",40,26,0.5761
"Dokuro",39,10,0.7048
"Dolguth",3,0,0.6706
"Doll",13,0,0.7741
"Doll City : Prologue",21,3,0.7327
"Doll Explorer Prologue",113,10,0.8206
"Doll of Resurrection",25,11,0.6289
"Dolla World",5,2,0.5997
"Dollhouse",72,55,0.5514
"DollKart",6,2,0.621
"Dolphin Defense",3,3,0.5
"Dolphin Swim",18,19,0.491
"Dolphin Up",22,1,0.7811
"Dolphins-Cyborgs and open space",25,36,0.4359
"DØM RUSALOK",76,20,0.7181
"Domain Defense",25,13,0.6055
"Domain Defense VR",11,4,0.6321
"Dome Discover",17,1,0.7613
"Domestic Defense",1,1,0.5
"Domestic Dog",377,90,0.759
"DomiCard",10,2,0.6793
"DomiDo",2,2,0.5
"Domina",6513,819,0.8617
"Dominari Tournament",62,1,0.8457
"Dominate them all",44,41,0.513
"DominaTRIX - Hentai Storytelling Puzzle",12,3,0.6698
"Dominatrix Simulator: Threshold",264,58,0.7637
"Dominions 3",94,21,0.7415
"Dominions 4",1283,121,0.8671
"Dominions 5",1365,74,0.8983
"Dominique Pamplemousse",295,98,0.7092
"Dominium Mundi",2,3,0.4583
"Domino",4,10,0.3805
"Domino Dungeon",6,5,0.5239
"Domino Effect",1,0,0.5942
"Domino House",18,1,0.7658
"Domino Simulator 2020",41,5,0.7685
"Domino Sky",242,51,0.767
"Domino VR",2,1,0.5569
"Dominus 2",30,15,0.614
"Dominus Galaxia: KS Edition",126,14,0.8098
"Domiverse",45,3,0.8019
"Don Bradman Cricket 14",567,64,0.8414
"Don Bradman Cricket 17",157,102,0.5863
"Don Flatus: Poop Hunter",44,8,0.7414
"Don´t Spill",13,0,0.7741
"Donald VS Martians",22,14,0.5736
"Dondar",16,2,0.7286
"DonDon Busters!!",2,0,0.6408
"Dong-Jin Rice-hime",395,40,0.8426
"Dongo Adventure",8,1,0.6944
"Donjon Defense",1,2,0.4431
"Don't Be Afraid",186,23,0.812
"Don't Be Afraid - The First Toy",537,51,0.8527
"Don't Bite Me Bro! +",156,44,0.7233
"Don't Bleed",11,11,0.5
"Don't Chat With Strangers",60,78,0.4495
"Don't Cheat On Me",132,132,0.5
"Don't Crash - The Political Game",50,3,0.81
"Don't Crash - The Zombie Game",6,0,0.7217
"Don't cut your hand",164,35,0.7584
"Don't Die",6,4,0.5514
"Don't Die Dateless, Dummy!",42,25,0.5912
"DON'T DIE!",28,6,0.7126
"Don't Die! Douche!",5,0,0.7084
"Don't Die, Minerva!",53,8,0.7624
"Don't Disturb",401,74,0.7904
"Don't Drop the Bass",6,1,0.6662
"Don't Escape Trilogy",116,1,0.8746
"Don't Escape: 4 Days to Survive",1147,21,0.9245
"Don't Explode",4,0,0.692
"Don't Fall",56,8,0.7683
"Don't Feed",34,11,0.6748
"Don't Feed The Slimes!",1,0,0.5942
"Don't Forget Our Esports Dream",62,5,0.8059
"Don't Get Bit",16,0,0.7869
"Don't Get Hit In The Face",12,0,0.769
"Don't Give Up",22,6,0.682
"DON'T GIVE UP: A Cynical Tale",71,7,0.8001
"Don't Go into the Woods",3,0,0.6706
"Don't Kill the Cow",30,12,0.6452
"Don't Knock Twice",265,98,0.6911
"Don't Let Go!",41,20,0.6224
"Don't Look",1,3,0.404
"Don't Look Back",3,4,0.4668
"Don't Look Down",18,1,0.7658
"Don't Make Love",278,41,0.806
"Don't mess with Nanny",1,2,0.4431
"Don't Notice Me",24,4,0.7275
"Don't open the doors!",208,38,0.7797
"Don't Panic!",25,19,0.5465
"Don't Play With Dolls",24,2,0.7662
"Don't Pray To Satan",9,16,0.4125
"Don't Shoot Rabbit",5,0,0.7084
"Don't Sink",139,46,0.6992
"Don't Stand Out",50,30,0.5917
"Don't Starve",84483,2823,0.9524
"Don't Starve Together",244019,9548,0.9514
"Don't Tax Me, Bro!",46,9,0.7362
"Don't touch me",3,0,0.6706
"DON'T touch the walls",19,6,0.6625
"Don't Touch The Zombies",3,1,0.596
"DON'T WAKE THE NIGHT",1,1,0.5
"dontbegrey",16,4,0.68
"Dontdy",2,0,0.6408
"DontFallAsleep",2,1,0.5569
"Donut County",3783,508,0.8508
"Donuts'n'Justice",101,23,0.741
"Don'Yoku",17,16,0.5099
"Doodle Creatures",4,2,0.5739
"Doodle Date",138,67,0.6383
"Doodle Derby",46,11,0.7166
"Doodle Devil",90,16,0.7636
"Doodle Farm",9,1,0.7057
"Doodle God",656,203,0.7292
"Doodle God Blitz",429,209,0.6478
"Doodle God: 8-bit Mania",89,69,0.5495
"Doodle God: Alchemy Jam",16,28,0.407
"Doodle God: Genesis Secrets",4,6,0.4486
"Doodle God: Mighty Trio",85,39,0.6421
"Doodle Jamboree",16,1,0.7564
"Doodle Kingdom",66,91,0.4377
"Doodle Mafia",72,32,0.6449
"Doodle Tanks",2,4,0.4261
"Doodle WHAT?!",7,7,0.5
"Doodler",38,4,0.7743
"DoodleVR",7,0,0.7326
"DOOM",137977,7080,0.9386
"Doom & Destiny",1858,67,0.9175
"Doom & Destiny Advanced",317,23,0.8576
"Doom & Destiny Worlds",54,11,0.7371
"DOOM 3",4605,576,0.8592
"DOOM 3: BFG Edition",6118,1029,0.8314
"DOOM 3: Resurrection of Evil",540,101,0.7935
"DOOM 64",3638,218,0.9065
"DOOM Eternal",103770,11409,0.8889
"DOOM II: Hell on Earth",4632,268,0.9108
"DooM in the Dark",6,9,0.4434
"DooM in the Dark 2",3,10,0.3524
"Doom of the Clawn",8,8,0.5
"Doom Rails",8,22,0.3497
"DOOM VFR",1192,911,0.5601
"DoomAI",42,4,0.7834
"DOOMED",51,38,0.5542
"Doomed'n Damned",6,10,0.4283
"Doomsday Hero",4,1,0.6251
"Doomsday on Demand",3,4,0.4668
"Doomsday on Demand 2",2,3,0.4583
"Doomsday Room",8,1,0.6944
"Doomsday Survival:Training",9,5,0.5796
"DOOMTANK",3,0,0.6706
"Doomtrooper CCG",84,18,0.7434
"DOOORS VR",5,3,0.5605
"DOOR",72,36,0.7178
"Door in the Woods",146,40,0.7259
"Door Kickers",8050,441,0.9186
"Door Kickers 2",2779,76,0.9302
"Door Kickers: Action Squad",5502,313,0.9133
"Door To Door",23,18,0.5412
"Door2:Key",25,10,0.6414
"Dooria",3,1,0.596
"Doors",194,110,0.6135
"Doors & Rooms",12,2,0.6991
"Doors of Insanity",95,23,0.7327
"Doors of Silence - the prologue",7,4,0.5718
"Doors Push or Pull",12,2,0.6991
"Doors Quest Demo",53,8,0.7624
"Doorways: Holy Mountains of Flesh",339,74,0.7685
"Doorways: Old Prototype",527,89,0.8041
"Doorways: Prelude",374,210,0.6198
"Doorways: The Underworld",258,106,0.6734
"DOPAMINE",2,0,0.6408
"DORAEMON STORY OF SEASONS",1005,175,0.8099
"DoraKone",118,4,0.8575
"Dorfromantik",3713,99,0.9344
"Dorian Morris Adventure",14,4,0.6633
"Doritos VR Battle",11,5,0.6076
"Dorke and Ymp",13,8,0.5721
"Dorky Fork",4,1,0.6251
"Dormant World",0,2,0.3592
"Dört Model Müzesi",5,1,0.6478
"Dot to Dot Puzzles",112,27,0.7367
"Dota 2",1251537,234233,0.8376
"Dota Underlords",72095,14541,0.8213
"DotLine",2,1,0.5569
"DOTORI",9,2,0.6676
"Dots & Girls",34,6,0.7356
"Dots eXtreme",81,8,0.8043
"Dots Pop : Sexy Hentai Girls",23,9,0.6424
"Dots!",4,1,0.6251
"Dots: Revamped!",13,0,0.7741
"DotX",9,3,0.6345
"Double",119,23,0.7621
"Double Action: Boogaloo",10043,794,0.9007
"Double Clue: Solitaire Stories",2,2,0.5
"Double Cross",69,14,0.744
"Double Dragon IV",388,257,0.5871
"Double Dragon Neon",1730,506,0.7469
"Double Dragon Trilogy",424,334,0.5513
"Double Elf Fantasy",13,4,0.6538
"Double Head Shark Attack",0,1,0.4058
"DOUBLE INVASION!!",2,0,0.6408
"Double Jump",2,0,0.6408
"Double Kick Heroes",171,30,0.7798
"Double Memory",18,7,0.6375
"Double Play: 2-Player VR Baseball",3,1,0.596
"Double Pug Switch",12,1,0.7319
"Double Shot",13,2,0.7075
"Double Stretch",3,12,0.3302
"Double Switch - 25th Anniversary Edition",16,4,0.68
"Double Turn",6,4,0.5514
"Doubles Hard",4,0,0.692
"DoubleTap",9,5,0.5796
"DOUDY",10,8,0.5327
"Doug and Lily",22,6,0.682
"Doug Flutie's Maximum Football 2020",15,9,0.5776
"Doughlings: Arcade",67,4,0.8212
"Doughlings: Invasion",19,1,0.77
"Down in Bermuda",53,21,0.6573
"DOWN MEANS UP",1,0,0.5942
"Down The Hole",5,2,0.5997
"Down The Rabbit Hole",171,12,0.844
"Down to Hell",25,16,0.5741
"Down To One",819,1304,0.3972
"Down Ward",40,3,0.7925
"Downbreak",19,3,0.7221
"Downfall",803,59,0.8752
"Downhill Deceits",3,1,0.596
"Downloaded: Fragments of a Forgotten Soul",1,2,0.4431
"Downpour",6,6,0.5
"DownStream : VR Whitewater Kayaking",33,3,0.7762
"Downtown",3,11,0.3407
"Downtown Drift",36,14,0.6526
"Downtown Mafia: Gang Wars",71,34,0.6329
"Downward",331,122,0.6941
"Downward Spiral: Horus Station",87,23,0.7204
"Downward Spiral: Prologue",98,13,0.7904
"Downwell",5948,184,0.936
"DOZA 2 - NOVOGODNIY PEREDOZ",51,15,0.6958
"DPS IDLE",174,87,0.6355
"Dr Greenstuff",123,15,0.8027
"DR MILOS REVENGE",5,2,0.5997
"Dr Tacocat",5,1,0.6478
"Dr. Atominus",11,1,0.7242
"Dr. Bulbaceous",6,1,0.6662
"Dr. Cares - Amy's Pet Clinic",40,12,0.6877
"Dr. Cares - Family Practice",25,2,0.7697
"Dr. Cares - Pet Rescue 911",56,4,0.8076
"Dr. Daisy: Pet Vet",12,12,0.5
"Dr. Derk's Mutant Battlegrounds",19,2,0.7451
"Dr. Doyle & The Mystery of the Cloche Hat",10,1,0.7155
"Dr. Dungeon's MADMAN!",4,1,0.6251
"Dr. Fizzgigious Fantabulous Carbon Dating Simulacrum",2,0,0.6408
"Dr. Frank's Build a Boyfriend",184,32,0.7822
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",8158,561,0.9073
"Dr. oil",8,0,0.7419
"Dr. Pills",17,19,0.4816
"Dr. Schplot's Nanobots",4,0,0.692
"Dr. Spacezoo",9,0,0.75
"Dr. Trolley's Problem",19,13,0.561
"Dr.Green",26,11,0.6349
"Drabidiboo",2,0,0.6408
"Dracologic",1,1,0.5
"Draconian Wars",17,25,0.4355
"Draconic Echoes: The Ardent War",1,0,0.5942
"Draconic Order VR",7,4,0.5718
"Draconic Route",4,2,0.5739
"Dracula 2: The Last Sanctuary",54,135,0.3299
"Dracula 3: The Path of the Dragon",61,127,0.3607
"Dracula 4 and 5 - Special Steam Edition",69,41,0.5964
"Dracula VS The Ninja On The Moon",6,1,0.6662
"Dracula: Love Kills",152,41,0.7287
"Dracula: Origin",123,60,0.6363
"Dracula: The Resurrection",152,191,0.4529
"Dracula: Vampires vs. Zombies",27,2,0.7762
"Dracula's Legacy",527,139,0.7502
"Draft Day Sports: College Basketball 2017",4,6,0.4486
"Draft Day Sports: College Basketball 2018",8,4,0.5897
"Draft Day Sports: College Basketball 2019",10,6,0.5717
"Draft Day Sports: College Basketball 2020",36,19,0.6085
"Draft Day Sports: College Basketball 2021",10,3,0.6476
"Draft Day Sports: College Football 2018",4,4,0.5
"Draft Day Sports: College Football 2019",9,5,0.5796
"Draft Day Sports: College Football 2020",9,9,0.5
"Draft Day Sports: College Football 2021",8,1,0.6944
"Draft Day Sports: Pro Basketball 2017",12,16,0.4545
"Draft Day Sports: Pro Basketball 2018",8,8,0.5
"Draft Day Sports: Pro Basketball 2019",3,5,0.4395
"Draft Day Sports: Pro Basketball 2020",6,6,0.5
"Draft Day Sports: Pro Basketball 2021",20,13,0.5694
"Draft Day Sports: Pro Football 2018",6,7,0.4789
"Draft Day Sports: Pro Football 2019",4,3,0.5332
"Draft Day Sports: Pro Football 2020",10,14,0.4483
"Draft Day Sports: Pro Football 2021",25,14,0.5946
"Draft Day Sports: Pro Golf",3,6,0.4167
"Drafting Tales",48,12,0.713
"DRAG",123,16,0.7979
"Drag Star!",18,1,0.7658
"DragoDino",16,1,0.7564
"Dragon Age II",929,214,0.7752
"Dragon Age: Origins",8503,715,0.8954
"Dragon Age: Origins - Awakening",123,9,0.8327
"Dragon Age: Origins - Ultimate Edition",12784,1192,0.8913
"Dragon Age™ Inquisition",3330,1145,0.7247
"Dragon and Weed: Origins - Prologue",7,11,0.4347
"Dragon and Weed: Origins OB - Dual Edges",3,1,0.596
"Dragon Audit",23,1,0.7844
"Dragon Awaken",20,27,0.4488
"DRAGON BALL FighterZ",34037,4052,0.8772
"DRAGON BALL XENOVERSE",13596,1758,0.8643
"DRAGON BALL XENOVERSE 2",21096,3514,0.8402
"DRAGON BALL Z: KAKAROT",21391,1588,0.9099
"Dragon Banner",6,3,0.5833
"Dragon Blast - Crazy Action Super Hero Game",1,0,0.5942
"Dragon Blaze",26,1,0.7932
"Dragon Blood",52,59,0.4761
"Dragon Boar and Lady Rabbit",17,9,0.5968
"Dragon Bros",26,2,0.773
"Dragon Castle: The Board Game",20,2,0.7499
"Dragon Chase",8,0,0.7419
"Dragon Cliff ??",4556,511,0.8685
"Dragon Climax",21,2,0.7544
"Dragon Creek",51,0,0.8478
"Dragon Defense",4,0,0.692
"Dragon Drop",5,0,0.7084
"Dragon Drop: Tabletop Multi-tool",9,2,0.6676
"Dragon Essence - Color My World -",14,9,0.5669
"Dragon Extinction",57,16,0.704
"Dragon Fantasy: The Black Tome of Ice",14,14,0.5
"Dragon Fantasy: The Volumes of Westeria",35,7,0.7259
"Dragon Fight VR",8,1,0.6944
"Dragon Fin Soup",166,117,0.5708
"Dragon Fury VR",1,2,0.4431
"Dragon Glory",35,44,0.4583
"Dragon Hunt",32,24,0.5503
"Dragon Hunter",29,8,0.6888
"Dragon Hunters",1,0,0.5942
"Dragon Iris",2,1,0.5569
"Dragon Kingdom War",41,35,0.5288
"Dragon Knight",1935,618,0.7336
"Dragon Lapis",6,1,0.6662
"Dragon Little Fighters 2",0,1,0.4058
"Dragon Lords: 3D Strategy",75,30,0.6616
"Dragon Marked For Death",512,126,0.7592
"Dragon Mission",5,0,0.7084
"Dragon Nest",1604,567,0.7152
"Dragon Nest Europe",2858,1453,0.6498
"Dragon Ninja Clan",3,0,0.6706
"Dragon of Hongkong",2,1,0.5569
"Dragon of Legends",5,24,0.2901
"Dragon Perception",15,32,0.3755
"DRAGON QUEST BUILDERS™ 2",3609,401,0.8671
"DRAGON QUEST HEROES™ II",480,199,0.6779
"DRAGON QUEST HEROES™ Slime Edition",795,368,0.6617
"DRAGON QUEST RIVALS Ace",31,28,0.518
"DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition",1976,104,0.9049
"DRAGON QUEST® XI: Echoes of an Elusive Age™",7217,1042,0.8491
"Dragon Racer",17,8,0.6125
"Dragon Rage",125,38,0.7094
"Dragon Rider",0,1,0.4058
"Dragon Roller Coaster VR",8,3,0.6197
"Dragon Saga",718,328,0.6634
"Dragon Simulator Multiplayer",73,23,0.6947
"Dragon Sin",308,152,0.6428
"Dragon Sinker",23,10,0.6288
"Dragon Slayer",2,3,0.4583
"Dragon Souls",42,22,0.6118
"Dragon Spear",517,295,0.6185
"Dragon Spirits : Prologue",58,0,0.8535
"Dragon Star Varnir",279,60,0.7671
"Dragon Stone - Legendary Archer",4,0,0.692
"Dragon Storm",1,10,0.2845
"Dragon Wars",9,2,0.6676
"Dragon World",39,17,0.6383
"DRAGON: A Game About a Dragon",401,188,0.6543
"Dragon: The Game",263,464,0.3808
"Dragon`s Checkers",2,2,0.5
"DragonBlast VR",7,2,0.6389
"Dragonborne",1,1,0.5
"DragonClash",3,1,0.596
"DragonCrash",0,1,0.4058
"DragonFang - Drahn's Mystery Dungeon",47,44,0.5123
"DragonFangZ",109,31,0.7158
"Dragonflight",53,60,0.4765
"Dragonfly Chronicles",3,1,0.596
"Dragonia",4842,885,0.8199
"Dragonpath",74,16,0.7393
"DragonRide VR",21,3,0.7327
"Dragons and Titans",2625,750,0.7537
"Dragon's Bane",1,1,0.5
"Dragon's Dogma: Dark Arisen",21025,2433,0.8771
"Dragon's Eye",8,3,0.6197
"Dragon's Lair",388,107,0.74
"Dragon's Lair 2: Time Warp",60,12,0.7417
"Dragon's Lunch",3,2,0.5417
"Dragons Never Cry",8,2,0.6542
"Dragon's Prophet (EU)",595,267,0.6654
"Dragon's Prophet Turkiye",82,53,0.5829
"Dragon's Wake",339,46,0.8172
"DragonScales 5: The Frozen Tomb",1,0,0.5942
"DragonSphere",21,4,0.7125
"Dragonview",15,0,0.783
"Dragonward",4,1,0.6251
"DragonWingsVR",3,8,0.3803
"Draid",4,3,0.5332
"DrainLive",52,16,0.6907
"Drake Hollow",659,143,0.7787
"Drake of the 99 Dragons",37,24,0.5758
"Drakensang",364,95,0.7468
"Drakensang 2 - Phileasson's Secret",34,10,0.686
"Drakensang The River of Time",216,52,0.7492
"DRAKERZ-Confrontation",134,125,0.5141
"Drakkhen",17,12,0.5552
"DrakulA",3,1,0.596
"DRAMAtical Murder",258,8,0.8825
"Draoi",0,1,0.4058
"Dráscula: The Vampire Strikes Back",4,1,0.6251
"Draugen",1017,310,0.7358
"Draught Kraft",4,1,0.6251
"Draw & Guess",62,6,0.7967
"Draw a Stickman: EPIC",830,248,0.737
"Draw a Stickman: EPIC 2",405,72,0.7946
"Draw a Stickman: EPIC 3",55,31,0.6032
"DRAW CHILLY",109,17,0.7801
"Draw It!",45,8,0.744
"Draw It! 2",26,5,0.7194
"Draw Light",2,0,0.6408
"Draw Near",16,6,0.6388
"Draw Puzzle",721,15,0.9139
"Draw Rider",108,41,0.6751
"Draw Rider 2",59,17,0.7016
"Draw Slasher",322,281,0.5291
"Draw Souls",24,4,0.7275
"Draw The Way",14,1,0.7453
"Draw With Unknown",76,39,0.6224
"Draw Your Game",14,45,0.3139
"Drawful 2",1990,509,0.7682
"Drawing Path",7,2,0.6389
"Drawkanoid",27,3,0.7577
"Drawkanoid: Review Breaker",19,8,0.629
"Drawn Down",11,2,0.6897
"Drawn Down Abyss",4,0,0.692
"Drawn Story",5,10,0.4057
"Drawn to Life: Two Realms",98,83,0.5328
"Drawn: Dark Flight",6,6,0.5
"Drawn: The Painted Tower",115,24,0.7534
"Drawn®: Dark Flight™ Collector's Edition",22,9,0.6358
"Drawngeon: Dungeons of Ink and Paper",50,11,0.7274
"Drawn™: Trail of Shadows Collector's Edition",18,6,0.6551
"Drawy",7,0,0.7326
"Drawz",3,3,0.5
"Drayt Empire",112,117,0.4912
"DRazor",2,1,0.5569
"Dread Nautical",19,6,0.6625
"Dread of Laughter",14,19,0.4504
"Dread station",5,5,0.5
"Dread X Collection",214,22,0.8283
"Dread X Collection 2",265,10,0.8782
"Dread X Collection 3",153,9,0.8485
"Dread X Collection: The Hunt",77,3,0.8393
"Dreadborne Drifters",34,4,0.7637
"DreadEye VR",86,20,0.7351
"Dreadful",7,5,0.5448
"Dreadful Shadows",3,0,0.6706
"Dreadhalls",244,12,0.8679
"Dreadlands",91,27,0.7068
"Dreadnought",3274,1802,0.6339
"Dreadnought Sol",2,0,0.6408
"DreadOut",3244,1032,0.7378
"DreadOut 2",865,302,0.7124
"DreadOut: Keepers of The Dark",648,171,0.7526
"DreadStar",29,3,0.7645
"Dreadtides",19,2,0.7451
"Dream",552,412,0.5634
"Dream Alone",30,18,0.5863
"Dream Car Builder",664,59,0.8608
"Dream Catcher",36,29,0.5386
"Dream Catcher Chronicles: Manitou",13,13,0.5
"Dream Chamber",23,19,0.5323
"Dream Channel",6,3,0.5833
"Dream Coaster VR Remastered",42,33,0.5437
"Dream Daddy: A Dad Dating Simulator",4142,416,0.8764
"Dream Date",948,130,0.8331
"Dream Dealer",93,95,0.4958
"Dream Detective",15,5,0.65
"Dream Eater Ep1 ??????",425,147,0.7071
"Dream Enders",18,1,0.7658
"Dream Ending",1468,34,0.9246
"Dream Escape",0,2,0.3592
"Dream Factory",17,69,0.2765
"Dream Flash",20,0,0.8
"DREAM GIRLS VR",4,5,0.4722
"Dream Golf VR",83,23,0.7137
"Dream Hills: Captured Magic",45,12,0.7042
"Dream Home",15,8,0.5937
"Dream Jump Adventure",1,1,0.5
"Dream Keeper",4,0,0.692
"Dream Knights",1,0,0.5942
"Dream Of Mirror Online",284,221,0.5528
"Dream Of Salmon",1,0,0.5942
"Dream On The Moon",3,1,0.596
"Dream Pets VR",4,19,0.2992
"Dream Pinball 3D",307,463,0.4124
"Dream Quest",201,25,0.8133
"Dream Rose",25,0,0.8125
"Dream Stone",12,13,0.4875
"Dream Stone 2",1,0,0.5942
"Dream Tale",24,5,0.7099
"Dream UniVRse",2,0,0.6408
"Dream Walker",4,5,0.4722
"Dreamals",5,2,0.5997
"Dreamals: Dream Quest",8,1,0.6944
"DreamBack VR",11,3,0.6593
"Dreamblaster",2,0,0.6408
"DreamBreak",42,52,0.4603
"Dreamcage Escape",43,9,0.728
"DreamCatcher: Reflections Volume 1",1,0,0.5942
"DreamDasher",68,8,0.788
"Dreamer",18,1,0.7658
"Dreamfall Chapters",3296,667,0.8043
"Dreamfall: The Longest Journey",744,121,0.8131
"DREAMFLIGHT VR",5,7,0.4552
"DreamFly",46,14,0.6893
"Dreamgate",41,5,0.7685
"Dreaming Sarah",1993,197,0.8696
"DreamLand",38,25,0.5737
"Dreamland Solitaire",23,0,0.8079
"Dreamland Solitaire: Dark Prophecy",11,1,0.7242
"Dreamland Solitaire: Dragon's Fury",14,1,0.7453
"Dreamlike Worlds",19,12,0.5731
"DREAMLIVE",21,6,0.6759
"DREAMO",42,5,0.7709
"Dreams Keeper Solitaire",1,2,0.4431
"Dreams of Dali",99,16,0.7746
