"gamename",positive,negative,rating
"1971 PROJECT HELIOS",23,18,0.5412
"1979 Invasion Earth",27,7,0.6933
"1979 Revolution: Black Friday",733,225,0.7316
"1984 Rewired",10,1,0.7155
"198X",1036,354,0.7176
"1993 Space Machine",157,67,0.6615
"199X",180,38,0.7614
"1BIT CASTLE",44,12,0.7011
"1-Bit Revival: The Residuals of Null",7,0,0.7326
"1bitHeart",536,43,0.863
"1Day??",3,1,0.596
"1Heart",108,67,0.5924
"1Quest",86,72,0.5347
"1st Core - The Zombie Killing Cyborg",11,7,0.5653
"1vs1: Battle Royale for the throne",21,7,0.6593
"1x! Space Adventure",0,1,0.4058
"2 Ninjas 1 Cup",129,38,0.7142
"2 Planets Fire and Ice",11,8,0.5469
"2 Times Circles",4,0,0.692
"20 Minute Metropolis - The Action City Builder",24,7,0.6776
"20,000 Miles Under the Sea",24,44,0.3941
"20.000 Leagues Under The Sea - Captain Nemo",14,9,0.5669
"200% Mixed Juice!",516,170,0.7169
"2014.Aftermath",3,5,0.4395
"2017 VR",90,39,0.652
"2020: The Ride",15,9,0.5776
"2048 art",5,4,0.5278
"2064: Read Only Memories",1119,288,0.762
"20something",5,8,0.4368
"20XX",3466,267,0.8925
"21 Days",42,15,0.6671
"21 Steps to Soul",8,8,0.5
"21+",123,139,0.4752
"222 Hearts",42,11,0.7044
"2236 A.D.",29,3,0.7645
"24 Hours 'til Rescue",25,62,0.3426
"25 Cadre of Death",20,26,0.4552
"27 pages",7,1,0.6815
"270 | Two Seventy US Election",446,137,0.7261
"2945VR",3,0,0.6706
"2D Mahjong Temple",3,3,0.5
"2D Neon Cube",94,54,0.6052
"2D Owen",3,0,0.6706
"2D Paintball",4,2,0.5739
"2D Platformer GAME (Toy Factory)",2,1,0.5569
"2Dark",307,98,0.7157
"2DGameManias Taken",4,12,0.3565
"2ECONDS TO ST?RLIVHT: Forever My Diamond",39,8,0.727
"2ECONDS TO ST?RLIVHT: My Heart's Reflection",38,5,0.7609
"2MD VR Football",129,10,0.8314
"2MD: VR Football Evolution",46,5,0.7796
"2nd Circle - Powerful Magic",2,1,0.5569
"2V Hoverbike",18,3,0.7163
"3 Blind Mice: A Remediation Game For Improper Children",43,14,0.6795
"3 Coins At School",26,59,0.3567
"3 Days in the Abyss",2,2,0.5
"3 days: Zoo Mystery",10,15,0.4375
"3 GEEKS",9,2,0.6676
"3 min per day! Improve your aged eyes(Presbyopia)",9,1,0.7057
"3 Minute Heroes",79,2,0.8492
"3 on 3 Super Robot Hockey",0,1,0.4058
"3 Stars of Destiny",119,84,0.5688
"3, 2, 1, SURVIVE !",3,0,0.6706
"3..2..1..Grenades!",26,1,0.7932
"30 days of plague",1,3,0.404
"30 days to survive",71,12,0.7618
"30 seconds to jail",50,17,0.6771
"300 Dwarves",34,35,0.4948
"3000th Duel",280,71,0.7468
"300k - The Game",2,0,0.6408
"303 Squadron: Battle of Britain",182,119,0.5859
"3030 Deathwar Redux - A Space Odyssey",956,51,0.8933
"3079 -- Block Action RPG",243,236,0.5062
"3089 -- Futuristic Action RPG",385,154,0.682
"30th Century Post Office",0,2,0.3592
"30XX",494,36,0.8667
"33 Rounds",9,6,0.5566
"3571 The Game",0,4,0.308
"35MM",2605,1051,0.6945
"36 apples",71,7,0.8001
"36 Fragments of Midnight",5,7,0.4552
"360 No Scope Arena",565,64,0.841
"360 No Scope!",1,0,0.5942
"365 Days",10,21,0.3851
"39 Days to Mars",185,25,0.8049
"3Buttons",27,20,0.5512
"3D Arcade Fishing",22,14,0.5736
"3d Bridges",10,14,0.4483
"3D Chess",51,36,0.5638
"3D Custom Lady Maker",158,64,0.6701
"3d Engineers",10,16,0.4274
"3D Gravity Rocket",9,3,0.6345
"3D Hardcore Cube",58,47,0.5395
"3D Hardcore Cube 2",26,20,0.5448
"3D Hentai Blackjack",18,14,0.5407
"3D Hentai Checkers",19,5,0.681
"3D Hentai Chess",19,19,0.5
"3D Hentai Puzzle",8,3,0.6197
"3D Jigsaw Puzzle Simulator",8,0,0.7419
"3D Mahjong worlds",7,5,0.5448
"3D Math - Ultra",63,6,0.7981
"3d Maze In Space",2,1,0.5569
"3D Mini Golf",26,41,0.4195
"3D Paraglider",8,22,0.3497
"3D Pinball Hentai",14,29,0.3814
"3D Pool",12,19,0.4269
"3D Text Adventure",6,7,0.4789
"3D Tower",35,76,0.3599
"3D Ultra Minigolf Adventures Deluxe",65,37,0.6032
"3DRPG",104,61,0.6023
"3dSen",273,18,0.8588
"3dSenVR",118,6,0.846
"3Gun Nation VR",13,8,0.5721
"3on3 FreeStyle: Rebound",485,372,0.5573
"3rd eye",196,31,0.7925
"3rd Invasion - Zombies vs. Steel",0,1,0.4058
"3SwitcheD",238,327,0.4329
"3x3 mini-Shogi",5,6,0.4761
"3x3 the adventure game",5,0,0.7084
"3x64",17,0,0.7905
"4 Elements",597,92,0.8153
"4 for the Money Demo",51,4,0.8001
"4?????????? / ACTION MAHJONG",15,2,0.7222
"40 Days",6,5,0.5239
"40 Winks",13,7,0.59
"4004-022",3,6,0.4167
"404Sight",1289,241,0.8048
"4089: Ghost Within",60,39,0.5795
"41 Hours: Prologue",9,12,0.4567
"428 ??????????",79,9,0.7947
"428 Shibuya Scramble",539,40,0.8675
"44 Minutes in Nightmare",27,4,0.7403
"4D Minesweeper",97,11,0.8012
"4D Toys",109,16,0.7853
"4DSnake",4,0,0.692
"4ife",12,0,0.769
"4islands",9,4,0.6054
"4K Bricks Breaker Plus",2,0,0.6408
"4Line",2,1,0.5569
"4PM",74,157,0.3552
"4Team",8,9,0.4829
"4th & Inches",1,0,0.5942
"4th Generation Warfare",50,41,0.5368
"4th of July VR",1,0,0.5942
"4x4 Dream Race",17,34,0.3841
"4X4 Masters",5,0,0.7084
"4X4 OFF-ROAD CHALLENGE",4,3,0.5332
"4x4 Offroad Racing Nitro",0,3,0.3294
"4x4 Road Race",9,11,0.47
"5 Minutes Rage",17,6,0.6473
"5 Star Rio Resort",16,8,0.6034
"5.84 Wing",6,2,0.621
"50 Level Survival",0,3,0.3294
"50 years",441,55,0.8291
"500 Years Act 1",18,43,0.3542
"507???",48,35,0.5577
"5089: The Action RPG",260,49,0.7807
"5D Chess With Multiverse Time Travel",2533,77,0.9264
"5-in-1 Pack - Monument Builders: Destination USA",4,2,0.5739
"5Leaps (Space Tower Defense)",21,0,0.8028
"6 Feet Behind",1,0,0.5942
"6 Nights",1,2,0.4431
"6 PEOPLE",16,14,0.5215
"6 Seasons And A Game",496,54,0.8417
"60 Parsecs!",1583,286,0.8111
"60 Second Strike",5,7,0.4552
"60 Seconds!",8544,1701,0.8132
"60 Seconds! Reatomized",4507,238,0.9147
"600Seconds ~The Deep Church~",6,0,0.7217
"6180 the moon",429,39,0.8513
"688(I) Hunter/Killer",102,30,0.7102
"69 Ways to Kill a Zombie",6,14,0.38
"6th Dimension",4,12,0.3565
"7 ???? ????: Youth Sky",71,11,0.7691
"7 Billion Humans",1025,66,0.886
"7 Bones and 7 Stones - The Ritual",33,19,0.5939
"7 Days in Dream ??",30,3,0.7676
"7 Days to Die",141656,21894,0.8563
"7 days with Death",52,3,0.8129
"7 Grand Steps, Step 1: What Ancients Begat",381,328,0.5322
"7 Lives",21,8,0.6436
"7 Mages",71,46,0.5814
"7 Pillars",3,1,0.596
"7 Roses - A Darkness Rises",12,2,0.6991
"7 Sexy Sins",373,50,0.82
"7 Soccer: a sci-fi soccer tale",1,3,0.404
"7 Wonders II",118,35,0.7117
"7 Wonders of the Ancient World",102,42,0.6618
"7 Wonders: Ancient Alien Makeover",205,31,0.7976
"7 Wonders: Magical Mystery Tour",88,8,0.8115
"7 Wonders: The Treasures of Seven",84,31,0.6753
"7,62 Hard Life",297,69,0.7588
"7,62 High Calibre",279,79,0.7318
"70 Seconds Survival",9,15,0.4224
"70 Seconds! Adventure",4,2,0.5739
"7776 II: Dwarven Greed",36,10,0.6939
"7D Game (VR for VIVE)",15,5,0.65
"7-in-1 Brain Sharpness Bundle",19,10,0.5994
"7-minute HOP",3,9,0.3655
"7n7",4,0,0.692
"7'scarlet",282,92,0.7114
"7th Deep",21,1,0.7777
"7th Legion",39,32,0.5357
"7th Sea: A Pirate's Pact",18,3,0.7163
"7th Sector",384,111,0.7332
"7WORLDS: The Dreaming Dale",2,1,0.5569
"8 Ball",48,18,0.6632
"8 Bit Space",11,0,0.7634
"8 Eyes",11,1,0.7242
"80 Days",1452,132,0.8713
"80S escape",2,8,0.3458
"80's OVERDRIVE",138,27,0.7642
"868-HACK",78,4,0.8319
"87 Aftermath: A Rolling Ball Game",1,1,0.5
"88 Heroes",44,8,0.7414
"8-bit Adventure Anthology: Volume I",38,0,0.834
"8-Bit Adventures 1: The Forgotten Journey Remastered Edition",85,16,0.7567
"8bit Arena",2,4,0.4261
"8-Bit Armies",1644,390,0.7771
"8-Bit Attack",9,11,0.47
"8-Bit Commando",161,128,0.5467
"8Bit Fiesta",428,36,0.8559
"8-Bit Hordes",381,80,0.775
"8-Bit Invaders!",287,62,0.7671
"8bit Pigeon Hunter",1,0,0.5942
"8BitBoy",1397,502,0.7114
"8BitMMO",2696,1853,0.5853
"8Doors: Arum's Afterlife Adventure",170,35,0.763
"8i",44,21,0.6268
"8-in-1 IQ Scale Bundle",45,7,0.7548
"8infinity",193,95,0.6392
"9 Balls",10,40,0.2919
"9 Clues 2: The Ward",626,48,0.8685
"9 Clues: The Secret of Serpent Creek",1079,118,0.8539
"9 Monkeys of Shaolin",358,39,0.8355
"9 Till Void",9,0,0.75
"9.03m",863,172,0.7925
"90 Minute Fever",148,92,0.5943
"911 Emergency Manager",2,1,0.5569
"911 Operator",10118,1322,0.8614
"96 Mill",28,5,0.7279
"99 Levels To Hell",354,217,0.6022
"99 Spirits",224,155,0.5758
"99 Waves to Die",14,7,0.6009
"996??????",37,10,0.6977
"99Vidas",368,81,0.7688
"9Dragons",238,115,0.6445
"9Dragons: Kung Fu Arena",180,93,0.6299
"9-nine-:Episode 1",537,28,0.8836
"9-nine-:Episode 2",475,11,0.9033
"9-nine-:Episode 3",164,10,0.849
"9-nine-:Episode 4",135,2,0.8753
"9th Company - Roots of Terror",101,79,0.5483
"9th Dawn Classic",13,2,0.7075
"9th Dawn II",122,19,0.7831
"9th Dawn III",288,29,0.8364
"A Bastard's Tale",233,51,0.762
"A Bewitching Revolution",189,8,0.8659
"A Bird Story",6895,1323,0.8165
"A Blind Legend",162,40,0.741
"A Bloody Night",69,16,0.7302
"A Bloody Party",14,4,0.6633
"A Book of Beasts and Buddies",318,9,0.8899
"A Boy and His Beard",43,17,0.6538
"A Boy and His Blob",304,140,0.6552
"A Business Power",0,2,0.3592
"A Butterfly in the District of Dreams",16,1,0.7564
"A Buttload of Free Games",27,12,0.629
"A Case of Distrust",287,60,0.7709
"A Case of the Crabs: Rehash",9,1,0.7057
"A Cat in Dungeons",12,0,0.769
"A Chair in a Room: Greenwater",499,89,0.7975
"A Cheesy Game",4,0,0.692
"A Christmas Peril",3,0,0.6706
"A City Sleeps",52,39,0.5531
"A Clockwork Ley-Line: The Borderline of Dusk",36,2,0.7989
"A Collection of Bad Moments",15,10,0.5625
"A Comfortable Burden",19,3,0.7221
"A Conversation With Mister Rabbit",6,1,0.6662
"A Country Of One",12,9,0.5433
"A Crooked Heart",4,1,0.6251
"A Dance of Fire and Ice",15613,977,0.9174
"A Dark Ice Saga: The Rescue",8,0,0.7419
"A Dark World: The Glowing City",0,1,0.4058
